race_id,season,location,driver_id,driver_code,team,resultposition,gridposition,avg_lap,median_lap,std_lap,best_lap,pit_count,avg_pit_loss,tyre_mix,avg_stint_length,nolaps,tracklength
8,2014,Spielberg,5,ALO,Ferrari,5,4,74.55674647887325,73.852,3.1057602874948813,72.595,2,21.255000000000003,2,24.0,71,4318.0
8,2014,Spielberg,6,VER,ToroRosso,20,14,76.16918644067795,75.327,3.8453943319364314,73.317,2,22.302999999999997,2,20.0,71,4318.0
8,2014,Spielberg,7,HUL,ForceIndia,9,10,74.91708450704225,74.193,3.1024069031570534,73.156,2,22.083,2,24.0,71,4318.0
8,2014,Spielberg,8,KVY,ToroRosso,22,7,76.34779166666667,75.27850000000001,3.897824320434545,74.332,1,21.906,2,12.5,71,4318.0
8,2014,Spielberg,9,MAS,Williams,4,1,74.53991549295775,74.089,3.167934201817054,72.586,2,21.996000000000002,2,24.0,71,4318.0
8,2014,Spielberg,10,BUT,McLaren,11,11,75.0132676056338,74.274,3.0768931081194157,72.858,2,21.3735,2,24.0,71,4318.0
8,2014,Spielberg,11,RAI,Ferrari,10,8,74.96835211267606,74.144,3.3057773976504983,72.884,2,21.766,2,24.0,71,4318.0
8,2014,Spielberg,12,VET,RedBull,21,12,79.47376470588235,75.2315,15.005708481570208,74.254,2,25.6125,2,11.666666666666666,71,4318.0
8,2014,Spielberg,13,SUT,Sauber,13,16,75.92501428571428,75.1215,3.5383638300768134,73.709,2,22.704500000000003,2,23.666666666666668,71,4318.0
8,2014,Spielberg,14,KOB,Caterham,16,19,76.98036231884059,76.273,2.6609328139440036,75.274,1,22.48,2,35.0,71,4318.0
8,2014,Spielberg,15,BOT,Williams,3,2,74.4105352112676,73.875,2.921586397984032,72.581,2,21.670499999999997,2,24.0,71,4318.0
8,2014,Spielberg,16,PER,ForceIndia,6,15,74.69749295774649,73.95,3.3525728536804995,72.142,2,22.865000000000002,2,24.0,71,4318.0
8,2014,Spielberg,17,CHI,Marussia,17,21,77.01095652173912,76.677,2.774575698535791,74.847,1,22.977,2,35.0,71,4318.0
8,2014,Spielberg,18,BIA,Marussia,15,18,76.51692753623186,76.103,2.828902563762142,74.476,1,24.452,2,35.0,71,4318.0
